Type de Développement,Technologie,Prix (en €)
Site Web personnalisé,PHP / HTML / JS / CSS,500 - 1500
Développement Python,Flask,600 - 2000
Développement Python,Django,800 - 2000
Développement Node.js,Express,800 - 2000
Développement Node.js,NestJS,800 - 2000
Site avec CMS,WordPress; Joomla; Drupal,500 - 1000
Site e-commerce avec CMS,Shopify; WooCommerce,900 - 3000
Développement Frontend,React,800 - 2000
Développement Frontend,Vue.js,900 - 2200
Développement Backend,Spring Boot (Java),1200 - 2500
Développement Backend,Laravel (PHP),1300 - 2700
Développement Fullstack,MERN Stack MongoDB; Express; React; Node.js,1500 - 2500
Développement Fullstack,MEAN Stack MongoDB; Express; Angular; Node.js,1400 - 2400
Développement mobile,React Native,2200 - 4500
Audit de sécurité,OWASP,400 - 1500
Optimisation des performances,Analyse de la vitesse / SEO,500 - 1500